pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,disc_year,discoverymethod,sy_dist
TOI-1226 b,2.4101112,6.39,3.92880881576,,,5434.91,1.01,0.986943,2026.0,Transit,257.93
K2-219 d,2.57634456,7.16,11.137278,,,5753.0,1.021545,1.189232,2018.0,Transit,325.4
HD 216435 b,13.7,400.4,1311.0,2.56,0.07,5999.0,1.3,1.800029,2002.0,Radial Velocity,32.9834
HD 23079 b,13.2,845.42356262,735.74,1.6,0.07348,5994.0,1.16,1.08,2001.0,Radial Velocity,33.4591
BD+49 828 b,13.5,508.5,2590.0,4.2,0.35,4943.0,1.52,7.6,2015.0,Radial Velocity,442.042
HD 20794 e,2.03,4.77,147.02,0.509,0.29,5401.0,0.813,0.93,2017.0,Radial Velocity,6.00278
K2-239 b,1.1,1.37,5.24,0.0441,,3420.0,0.4,0.36,2018.0,Transit,31.0849
TOI-880.02,2.19,5.43,2.57571,0.0349,,5050.0,0.87,0.83,2024.0,Transit,60.6679
TOI-1232 b,10.92875618,220.57291446,14.256,0.117,0.065,5823.0,1.058,1.072,2026.0,Transit,328.604
WASP-71 b,13.22662,441.7837,2.90367,0.046,0.0,6050.0,0.76,1.82,2012.0,Transit,362.715
HD 159243 c,13.4,603.9,248.4,0.8,0.075,6123.0,1.125,1.12,2013.0,Radial Velocity,73.3055
HIP 91258 b,13.7,346.4347,5.0505,0.06,0.02,5519.0,0.97,0.89,2013.0,Radial Velocity,45.8846
HIP 109384 b,13.5,495.8148,499.48,1.134,0.549,5180.0,0.78,0.831075,2016.0,Radial Velocity,58.9582
HD 27894 c,8.24,51.48846,36.07,0.198,0.015,4875.0,0.8,0.891767,2017.0,Radial Velocity,43.8214
K2-239 d,1.1,1.37,10.115,0.0685,,3420.0,0.4,0.36,2018.0,Transit,31.0849
Kepler-778 b,1.68,3.46,3.75574426,0.0453,0.0,5102.0,0.81,0.77,2016.0,Transit,938.168
TOI-1244 b,2.467,6.6,6.400316483,0.060694,0.0,4599.0,0.73,0.721,2024.0,Transit,102.551
TOI-1466 b,2.46741991,6.65,1.87190602231,,,4435.39,0.66,0.749646,2026.0,Transit,86.5783
K2-157 b,0.935,1.14,0.3652575,0.00962,,5334.0,0.89,0.86,2018.0,Transit,298.373
HD 33564 b,12.5,2892.1,388.0,1.1,0.34,6250.0,1.25,1.4367,2005.0,Radial Velocity,20.9531
WASP-55 b,14.72860064,186.2474465,4.465631,0.0558,0.0,6096.0,1.071,1.09,2012.0,Transit,297.462
ROXs 12 b,12.2,5085.0,,210.0,0.83,3850.0,0.87,1.06627,2013.0,Imaging,136.65
bet UMi b,12.7,1938.7,522.3,1.4,0.19,4126.0,1.4,38.3,2014.0,Radial Velocity,38.77472
HD 216536 b,13.8,333.7215,148.60001,0.61,0.38,4639.0,0.81,9.83,2015.0,Radial Velocity,376.233
HIP 65407 b,14.3,136.03124,28.125,0.177,0.14,5460.0,0.93,0.952252,2016.0,Radial Velocity,61.7804
HD 12484 b,13.2,947.1334,58.83,0.297,0.07,5920.0,1.01,1.001848,2016.0,Radial Velocity,48.3367
NGTS-1 b,14.90797,258.07796,2.647298,0.0326,0.016,3916.0,0.617,0.573,2017.0,Transit,218.121
K2-148 b,1.33,2.33,4.38395,0.0454,,4079.0,0.65,0.632,2018.0,Transit,124.458
K2-158 b,2.64,7.46,10.06049,0.0887,,5503.0,0.92,0.95,2018.0,Transit,197.299
HD 86081 b,13.6,470.3884,2.1378431,0.0346,0.0119,5939.0,1.21,1.46,2006.0,Radial Velocity,103.936
HD 45652 b,14.3,137.62039,44.073,0.237,0.607,5294.0,0.92,0.94,2008.0,Radial Velocity,34.8541
WASP-62 b,14.79588,165.2716,4.41195,0.0571,0.0,6230.0,1.11,1.23,2012.0,Transit,175.631
TOI-1422 b,3.83,9.5,12.99894,0.107,0.2,5840.0,0.9903,1.019,2022.0,Transit,155.141
HIP 65426 b,16.8135,2860.47,,92.0,,8840.0,1.96,1.77,2017.0,Imaging,108.875
K2-148 d,1.64,3.33,9.7579,0.0774,,4079.0,0.65,0.632,2018.0,Transit,124.458
GJ 1265 b,2.63,7.4,3.6511,0.026,0.04,3236.0,0.178,0.192,2018.0,Radial Velocity,10.2525
HD 6061 b,2.42763557,10.0,5.2549,0.06,0.0,5934.0,1.0269,1.0072,2023.0,Transit,67.6203
FU Tau b,12.2,5085.28,,800.0,,2838.0,0.05,,2008.0,Imaging,133.4950466
Kepler-19 c,3.68,13.1,28.731,0.1765736996,0.21,5544.0,0.936,0.859,2011.0,Transit Timing Variations,218.562
Kepler-25 d,10.0,71.9,122.4,0.4164221832,0.13,6354.0,1.165,1.316,2014.0,Radial Velocity,243.249
HIP 8541 b,12.6,2451.7283316,1852.14387,3.729,0.36,4672.0,2.009,6.84,2016.0,Radial Velocity,155.121
K2-113 b,12.14,410.0007,5.817685,0.0642,0.0,5660.0,1.04,1.24,2017.0,Transit,635.722
K2-152 b,2.29,5.86,32.6479,0.1716,,4044.0,0.63,0.61,2018.0,Transit,108.449
K2-243 c,2.01,4.7,24.94598,0.1817,,6570.0,1.29,1.39,2018.0,Transit,266.864
HD 13167 b,13.1,1052.0173,2613.0,4.1,0.563,5671.0,1.35,2.39,2018.0,Radial Velocity,148.934
TOI-929 b,2.68983343,7.7,5.83015366944,,,4457.16,0.7,0.717414,2026.0,Transit,114.421
K2-162 b,1.44,2.67,9.45889,0.0795,,4842.0,0.75,0.69,2018.0,Transit,124.433
K2-161 b,6.11721229,31.1,9.283188,,,4972.0,0.986876,2.568173,2018.0,Transit,916.319
KELT-3 b,17.48604,616.5902,2.70339,0.04123,0.0,6304.0,1.96,1.7,2013.0,Transit,210.252
Kepler-97 c,,344.0,789.0,,,5779.0,0.94,0.98,2014.0,Radial Velocity,400.907
KELT-14 b,19.537287,408.09372,1.7100566,0.03005,0.0,5720.0,1.239,1.52,2016.0,Transit,250.121
tau Cet h,1.19,1.83,49.41,0.243,0.23,5310.0,0.783,0.83,2017.0,Radial Velocity,3.60304
K2-154 c,2.07,4.94,7.95486,0.0677,,4097.0,0.65,0.63,2018.0,Transit,129.356
K2-246 b,3.49,12.0,5.76918,0.0602,,5610.0,0.87,0.94,2018.0,Transit,703.616
TOI-969 b,2.765,9.1,1.8237305,0.02636,,4435.0,0.734,0.671,2022.0,Transit,77.2554
TOI-1291 b,5.63826391,27.1,7.1620097551,,,6139.95,1.2,1.8109,2026.0,Transit,428.123
