pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,disc_year,discoverymethod,sy_dist
HD 2039 b,12.7,1999.1507,1120.0,2.2,0.71,5945.0,1.23,1.19,2002,Radial Velocity,85.6922
HAT-P-8 b,15.6926,406.8224,3.07634,0.04496,0.0,6200.0,1.27,1.57,2008,Transit,211.553
K2-43 b,4.51,18.5,3.471149,0.03784,0.07,3840.6,0.571,0.542,2016,Transit,182.536
Kepler-1753 b,2.22678077,5.59,16.00460052,0.1179,0.0,5180.0,0.86,0.769,2021,Transit,707.688
Kepler-1176 b,2.45,6.57,24.1738579,0.1589,0.0,5844.0,1.01,1.02,2016,Transit,864.699
K2-126 b,1.97,4.54,7.385655,0.0656,0.06,4339.0,0.69,0.65,2017,Transit,102.953
Kepler-1263 b,1.14,1.55,4.55139967,0.0499,0.0,5213.0,0.84,0.8,2016,Transit,664.83
Kepler-1416 b,0.88,0.615,1.49514952,0.0257,0.0,6019.0,1.09,1.15,2016,Transit,949.59
