pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_mass,st_rad,disc_year,discoverymethod,sy_dist
"Kepler-1211 b",2.55000000,7.04000000,11.01816836000,0.0976300000,0.000000,5705.00,0.960000,0.940000,2016,"Transit",1826.53000000
"HIP 78530 b",12.00000000,7300.00000000,,740.0000000000,,10500.00,2.500000,2.108760,2010,"Imaging",136.75900000
"Kepler-48 f",13.80000000,298.58099680,5219.68185400000,5.7191878770,0.015283,5190.00,0.916000,0.836000,2023,"Radial Velocity",306.73800000
"Kepler-1750 b",6.00434637,30.10000000,205.91200260000,0.6785000000,0.000000,5644.00,0.981000,0.969000,2021,"Transit",1497.33000000
"TOI-4308 b",2.41890000,6.43000000,9.15120100000,,,5243.00,0.900000,0.793400,2023,"Transit",108.93200000
"HD 18015 b",13.10000000,1048.83374310,2278.00000000000,3.8700000000,0.148000,5603.00,1.490000,3.130000,2018,"Radial Velocity",123.80100000
"TOI-1798.02",1.46400000,5.60000000,0.43781182200,0.0107890000,0.000000,5165.00,0.870000,0.780000,2024,"Transit",113.18100000
"Kepler-24 b",2.34800000,11.14000000,8.14000000000,0.0804500000,0.023000,6028.00,1.060000,1.099000,2011,"Transit",1156.81000000
"Kepler-1875 b",3.22686692,10.50000000,34.45859909000,0.2039000000,0.000000,6161.00,0.950000,0.862000,2021,"Transit",1660.45000000
"Kepler-1642 b",3.20000000,10.30000000,12.20575130000,0.1016000000,0.000000,5355.00,0.880000,0.840000,2016,"Transit",413.87300000
"HD 33142 c",13.90000000,282.86728223,810.20000000000,1.9550000000,0.081000,5025.40,1.520000,4.170000,2016,"Radial Velocity",121.37500000
"Kepler-864 b",2.40000000,6.35000000,5.83376092000,0.0687000000,0.000000,5754.00,1.000000,1.000000,2016,"Transit",2022.90000000
"HD 181720 b",14.00000000,127.13200000,956.00000000000,1.8500000000,0.260000,5736.00,1.030000,1.500000,2009,"Radial Velocity",60.20460000
"TOI-6677 b",5.83507112,28.70000000,5.45060661625,,,6572.28,1.450000,1.571670,2026,"Transit",340.52000000
"Kepler-1394 b",1.39000000,2.51000000,3.93766373000,0.0547400000,0.000000,6481.00,1.640000,2.550000,2016,"Transit",640.40900000
"Kepler-1672 b",2.97022762,9.11000000,150.87800000000,0.5537400000,0.000000,6131.95,1.160000,1.088410,2020,"Transit",391.18100000
"HD 331093 b",13.60000000,476.74261050,621.62000000000,1.4400000000,0.590000,5544.00,1.030000,1.111200,2021,"Radial Velocity",50.19280000
"Kepler-58 d",2.94000000,245.34300000,40.10137100000,0.2360000000,0.000000,6099.00,1.024000,1.127000,2014,"Transit",969.25200000
"Kepler-404 c",1.72000000,3.61000000,14.75116600000,0.1180000000,0.000000,5654.00,0.860000,0.884000,2014,"Transit",812.52400000
"Kepler-1254 b",1.55000000,3.02000000,9.99113313000,0.0833000000,0.000000,4985.00,0.780000,0.750000,2016,"Transit",622.81800000
"HD 37124 d",14.00000000,221.20968000,1862.00000000000,2.8070000000,0.160000,5698.64,0.850000,0.949168,2005,"Radial Velocity",31.66340000
"WASP-3 b",15.91678000,772.32690000,1.84683000000,0.0315000000,0.000000,6400.00,1.620000,1.440000,2007,"Transit",231.16100000
"Kepler-1936 b",3.16615594,10.20000000,126.55699920000,0.5266200000,0.000000,6501.00,1.419000,1.854000,2021,"Transit",871.09600000
"Kepler-1615 b",2.06000000,4.90000000,47.31261920000,0.2788000000,0.000000,5865.00,1.040000,1.050000,2016,"Transit",1393.83000000
"Kepler-327 d",1.73000000,3.64000000,13.96945700000,0.0900000000,0.000000,3799.00,0.591913,0.492000,2014,"Transit",241.98700000
"Kepler-1301 b",1.40000000,2.54000000,9.08237046000,0.0815000000,0.000000,5188.00,0.850000,0.810000,2016,"Transit",854.28000000
"Kepler-784 c",1.55000000,3.02000000,17.15723600000,0.1309000000,0.000000,5676.00,1.016000,1.487000,2023,"Transit",1303.72000000
"Kepler-1553 b",1.15000000,1.60000000,4.24261881000,0.0481000000,0.000000,5288.00,0.850000,0.810000,2016,"Transit",692.59400000
"Kepler-1862 b",2.20300000,5.49000000,16.05730057000,0.1199000000,0.000000,5644.00,0.900000,0.806000,2021,"Transit",1232.19000000
"Kepler-990 b",2.60000000,7.27000000,9.91723428000,0.0859500000,0.000000,5948.00,1.050000,1.080000,2016,"Transit",802.16300000
"Kepler-1537 b",1.18000000,1.76000000,1.44445379800,0.0245000000,0.000000,5079.00,0.810000,0.770000,2016,"Transit",517.29200000
"HATS-28 b",13.38354600,213.58176000,3.18107810000,0.0413100000,0.202000,5498.00,0.929000,0.922000,2016,"Transit",535.38300000
"HR 858 d",2.00100000,7.10000000,11.23051100000,0.1046000000,0.000000,6354.00,1.204000,1.258000,2019,"Transit",31.96400000
"TOI-2193 A b",19.83989584,298.75870258,2.12257350000,0.0331900000,0.000000,5966.00,1.082000,1.248000,2022,"Transit",337.06400000
"GJ 9773 b",14.20000000,172.58082500,2965.00000000000,2.9210000000,0.218000,3528.00,0.358000,0.362000,2025,"Radial Velocity",15.92110000
"Kepler-1785 b",2.70422447,7.77000000,19.58550072000,0.1391700000,0.000000,5618.00,0.911000,0.996000,2021,"Transit",745.74000000
"Kepler-130 d",1.64000000,3.33000000,87.51790500000,0.3770000000,0.800000,5884.00,0.927000,1.127000,2014,"Transit",316.66300000
"HD 13808 c",3.13000000,9.96000000,53.75300000000,0.2554000000,0.156000,5035.00,0.771000,0.781000,2021,"Radial Velocity",28.23050000
"Kepler-340 b",2.53000000,6.94000000,14.84438700000,0.1340000000,0.000000,6620.00,1.650000,1.850000,2014,"Transit",808.76200000
"HD 125271 b",12.40000000,3465.60094993,14901.99295000000,10.8170000000,0.165000,4703.93,0.750000,0.751364,2022,"Radial Velocity",39.34660000
"Kepler-1085 b",7.22000000,41.20000000,219.32175280000,0.7336100000,0.000000,6000.00,1.110000,1.140000,2016,"Transit",1364.53000000
"Kepler-1404 b",2.01000000,4.70000000,15.93147390000,0.1143000000,0.000000,5261.00,0.840000,0.800000,2016,"Transit",962.18300000
"K2-99 c",12.60000000,2669.75861880,522.20000000000,1.4300000000,0.210000,6069.00,1.440000,2.550000,2022,"Radial Velocity",519.22900000
